"r_demo" "r_sex" "r_sexid" "r_sexact" "prop.r" "rp_demo" "rp_sex" "rp_sexid" "rp_sexact" "corrected_r" "corrected_rp" "cnr" "cnrp"
"36" "m_het_low" "m" "het" "low" 0.414734913843013 "m_het_low" "m" "het" "low" 2.78362249494226e-06 2.78362249494226e-06 1.15446543561135e-06 1.15446543561135e-06
"37" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "m_bi_high" "m" "bi" "high" 0.041768599511986 0.0822804301954855 0.000100992302866771 0.000100992302866771
"38" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "m_bi_low" "m" "bi" "low" 0.00734341872480042 0.00487721852557345 1.77556532083328e-05 1.77556532083328e-05
"39" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "m_gay_high" "m" "gay" "high" 0.00526480332799037 0.00306234590271579 1.27297687364837e-05 1.27297687364837e-05
"40" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "m_gay_low" "m" "gay" "low" NA NA NA NA
"41" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "m_het_high" "m" "het" "high" 1.52751174253796 0.0529394235291956 0.00369337086561098 0.00369337086561098
"42" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "m_het_low" "m" "het" "low" 0.62759105013647 0.00365884916179432 0.00151745249188135 0.00151745249188135
"43" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "m_bi_high" "m" "bi" "high" 0.00175539781854661 0.0144658824773087 1.77556532083328e-05 1.77556532083328e-05
"44" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "m_bi_low" "m" "bi" "low" 0.000308619904923791 0.000857473275716652 3.12165592728857e-06 3.12165592728857e-06
"45" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "m_gay_high" "m" "gay" "high" 0.000221262488687925 0.000538396989761788 2.23804540238531e-06 2.23804540238531e-06
"46" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "m_gay_low" "m" "gay" "low" NA NA NA NA
"47" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "m_het_high" "m" "het" "high" 0.0641963295869187 0.00930738302376828 0.00064933871590253 0.00064933871590253
"48" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "m_het_low" "m" "het" "low" 0.0263756020843552 0.000643269388005947 0.000266786274212494 0.000266786274212494
"49" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "m_bi_high" "m" "bi" "high" 0.0122005123650453 0.0103711948157937 1.27297687364837e-05 1.27297687364837e-05
"50" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "m_bi_low" "m" "bi" "low" 0.00214499581025988 0.000614758374108448 2.23804540238531e-06 2.23804540238531e-06
"51" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "m_gay_high" "m" "gay" "high" 0.00153783700801952 0.000385999269509843 1.60454814361576e-06 1.60454814361576e-06
"52" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "m_gay_low" "m" "gay" "low" NA NA NA NA
"53" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "m_het_high" "m" "het" "high" 0.446182685565942 0.00667285129103791 0.000465538022628493 0.000465538022628493
"54" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "m_het_low" "m" "het" "low" 0.183317910029148 0.000461186668183638 0.000191270213094687 0.000191270213094687
"55" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "m_bi_high" "m" "bi" "high" NA NA NA NA
"56" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "m_bi_low" "m" "bi" "low" NA NA NA NA
"57" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "m_gay_high" "m" "gay" "high" NA NA NA NA
"58" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "m_gay_low" "m" "gay" "low" NA NA NA NA
"59" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "m_het_high" "m" "het" "high" NA NA NA NA
"60" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "m_het_low" "m" "het" "low" NA NA NA NA
"61" "w_het_high" "w" "het" "high" 0.0433470411036882 "m_bi_high" "m" "bi" "high" 0.0852046822936832 3.00906242424078 0.00369337086561098 0.00369337086561098
