"r_demo" "r_sex" "r_sexact" "r_sexid" "rp_demo" "rp_sex" "rp_sexact" "rp_sexid" "prop.r" "corrected_r" "corrected_rp" "cnr" "cnrp"
"1" "m_high" "m" "high" "het" "w_high" "w" "high" "het" 0.0722716264230633 2.00765296746818 3.23126739668327 0.145096345252015 0.145096345252015
"2" "m_low" "m" "low" "het" "w_high" "w" "high" "het" 0.429630113793801 0.138756693735884 1.32759339406898 0.0596140541193993 0.0596140541193993
"3" "m_high" "m" "high" "het" "w_low" "w" "low" "het" 0.0722716264230633 0.824861111751255 0.131541900743008 0.0596140541193993 0.0596140541193993
"4" "m_low" "m" "low" "het" "w_low" "w" "low" "het" 0.429630113793801 0.0570093549595112 0.0540450965614758 0.024492935658566 0.024492935658566
"5" "w_high" "w" "high" "het" "m_high" "m" "high" "het" 0.0449038496167011 3.23126739668327 2.00765296746818 0.145096345252015 0.145096345252015
"6" "w_low" "w" "low" "het" "m_high" "m" "high" "het" 0.453194410166434 0.131541900743008 0.824861111751255 0.0596140541193993 0.0596140541193993
"7" "w_high" "w" "high" "het" "m_low" "m" "low" "het" 0.0449038496167011 1.32759339406898 0.138756693735884 0.0596140541193993 0.0596140541193993
"8" "w_low" "w" "low" "het" "m_low" "m" "low" "het" 0.453194410166434 0.0540450965614758 0.0570093549595112 0.024492935658566 0.024492935658566
